id,token
1598,save
998,toh
443,top
854,createnode
95,tot
160,xump
1694,themultiplicationisntpossiblei
882,nothinggetsprintedafterreturnstatement
1722,notesxxx
1061,enterage
1502,uintmax
34,malloc
524,putlint
1708,cno
413,cnt
714,isbstutil
937,tdxd
1043,cprogramming
516,longlongmax
1493,comparator
713,notabst
1544,quad
1035,names
1205,forloop
435,2.0
565,sizeofthestructureislu
982,666
1480,lldld
1470,xxx
1433,xxz
797,displayemployee
657,getcount
996,col
948,structstudent
1498,tempi
401,cou
792,employee
1111,youhaveenteredunavailableoption
419,preprocess
145,thecountisllu
232,firstforloop
1295,sumleft
817,enteremployeesdepartment
826,insertatfrontinsertatendinsertatpositionenteryourchoice
1225,xyz
1436,xindex
1601,jpos
96,void
204,comparison
244,66667
1325,swap
1154,chooseoperationtoperform
963,insertatbeg
230,200
860,insertatfront
338,inlinevoid
926,enterthenumbertocheckprime
272,inumele
64,unsignedlonglong
1014,sizeofaisld
1304,times
1538,playlist
1280,lcm
1674,hereistheelementsoffirstmatrix
973,elementsofarray
1678,crm
579,binarymodularexponentiation
1570,20000
828,entertheposition
995,rows
1213,arrrr
1317,ldd
471,pll
482,getcharunlocked
976,222
1655,plq
563,modulexpo
662,unsignedlongintn
917,plt
1721,ttx
16,METHOD_NAME
70,unsignedshort
664,unsignedlongintp
1217,0000000
1406,enterthesourcevertex
41,rangesize
865,insatpos
1149,thesecondintegeriszerodevidebyzero
1143,enterthesecondinteger
1186,answerisone
770,prev
1204,00000000
496,ccnt
1515,arra
617,findminx
141,233
551,dddfd
663,lulullu
1581,enternumberofrowsandcolumnsofsecondmatrix
167,len
945,pred
892,lesser
302,merge
542,pref
611,ncrmodpdp
700,state
303,element
1091,printfibonacci
1181,input
290,inttasks
5,enteranoperator
965,createlist
268,itemp
697,cur
1386,thelengthdes
1116,subtraction
211,two
63,pop
1562,found
1615,fffld
304,pos
1407,theverticesreachablefromdusingbfsare
99,pow
1049,sjob
1492,issubset
689,entertheposfixexpr
1545,numberofstepstobetakenared
1526,charn
1626,numberofstepstobetakenaref
626,brickofpatlulastround
1303,tcount
83,till
6,entertwooperands
944,theresulatantpolynomial
119,typ
1380,source
1404,pqr
786,lim
498,getstr
702,paircount
32,continue
327,isprime
415,last
418,pri
1073,weight
444,syntaxerror
1215,scanarray
138,284
1006,afiletxt
287,median
850,thedeletedelementisd
89,insertarray
851,deletedelementisd
289,alltasks
503,isprint
883,290
1523,hcf
245,333334
325,293
1373,findpath
210,ddddd
38,currentrangesize
529,putcharunlocked
405,11000
1066,structperson
993,matrixb
1584,productofthematrices
172,lld
992,matrixa
45,yes
312,start
562,lli
1558,temperoray
886,myname
557,lln
764,ptr
890,equal
43,checkcurrentrange
1367,ptt
48,curroffset
94,llu
614,binexpo
286,leftinsert
567,uintt
179,12345
654,short
193,thefinalanswerisready
762,isfull
1297,three
440,strcpy
784,zuzuzuzuzu
165,xorstore
1114,options
247,binsearch
818,enteremployeesdesignation
889,helloworld
1668,ctwo
1232,lns
1440,howmanynumbersareugoingtoenter
1732,enterelementsoffstmatrix
88,lululu
1015,insidemain
1354,aftercreatingheap
254,loc
1709,elist
1052,forfirstnumber
789,log
37,mingroupsize
923,dsum
742,inordertraversalofmirrortree
1001,filepointer
1265,ways
10,erroroperatorisnotcorrect
255,low
618,prod
1448,toupper
682,enterthenoofnodes
1587,issubsetsum
285,rightinsert
979,reverse
528,modularexponentiation
239,ivalue
168,char
1505,tcopy
1423,queuefull
855,choice
605,includemathh
994,resultantmatrix
1137,entersymbolfordivision
1632,bead
683,enterthesrcvertex
1521,luckychef
308,intrq
549,ldldld
650,das
1577,999999999
439,strcmp
1519,dvaluenotfound
1327,structelement
823,enternoofemployees
1210,tree
1170,casefalse
1669,checkcoloffirstandrowofsecondmatrix
1222,done
309,intqp
1144,inputyouroption
723,heapsort
159,addnewelement
1158,dcd
234,thiscaseisneverentered
1080,enterinch
1130,presshorhtodisplay
1508,point
546,lender
655,ddlld
803,employeedepartments
1614,pppost
1631,unsignedchar
171,qsort
163,temp
261,iend
586,magicp
149,ddd
1358,aftercreatingheapum
577,llsize
115,third
1527,comparetor
265,idobinarysearchtoinsert
222,stack
920,pltsz
373,gnodepool
1704,def
974,del
1372,path
1267,det
137,2424
1381,des
1028,record
1259,putchar
1630,beads
538,medy
91,jump
535,medx
332,prime
1099,pleaseenterdnumbersonebyone
941,printingstpolynomial
260,istart
1361,findmax
857,deletedatafromfrontofthelistdeletedatafromendofthelistinsertdataatagivenpositiondeletedataatagivenposition
685,dfs
734,theinordertraversaloftreeis
146,thanksforrunningthisprogram
633,route
661,unsignedlongintsize
1193,1100
1346,enterkeyx
506,longintlimit
1357,entertheelementsum
1445,trans
1496,nextpermutation
815,enteremployeesssn
741,mirror
904,compare
8,lflf
1139,entersymbolforpower
276,indx
461,unsafe
194,thetotalsumislld
930,term
1431,hpe
474,modpow
1486,mini
1569,tail
1036,subjects
1076,stdistance
170,cmpfunc
640,intgfi
87,right
1345,htable
323,abcd
1292,minn
1518,inputthevaluetobesearch
646,answer
365,maximum
1377,pathnotfound
1081,inch
362,quantities
1107,factorialofenterednumberdisd
1546,(00)->
1697,dit
1712,totalcost
1472,div
897,thisisredundantcode
832,delend
1219,theanswerisready
238,unsignedint
1592,signal
767,info
417,test
58,count
324,2000
1666,rtwo
961,enterthenumberofnodes
580,ull
1098,enterthenumberofelementsyouwanttoadd
355,final
900,difficultylevel
389,cambiosmax
464,islower
269,inumqueries
692,isoperator
467,schar
295,addtoalltasks
1200,studentnumberisd
1702,yun
1564,dddlld
1155,invalidoperation
1462,includestdlibh
1382,uindex
1595,inputdvalueinascendingorderum
203,length
370,htt
925,firstdprimenumbersare
613,factinv
756,print
1307,ksize
361,longlongmaxquantity
1150,thedivisionofdanddisd
1368,enterthesourceandthedestinationvertex
811,ssssldldnull
372,maxhtbkt
262,ibugvalue
649,dms
1189,convert
1229,euclid
1600,lenghts
1118,division
716,thesizeoffirststructureisd
943,polyadd
1344,tablez
921,9999999
1733,enternumberofrowsandcolumnsofsndmatrix
1313,init
670,entertheexprinpostfix
691,resultisdt
1182,bits
476,signed
856,enteryourchoiceinsertdataatfrontofthelistinsertdataatendofthelistdisplaythelist
317,enterapositiveinteger
1643,intnummiddle
604,10000000
515,sieve
1437,arrays
1640,givenarrayis
578,summed
912,deepa
1174,100.00
960,aftermerging
1121,calculatoroperations
988,dimensionsofbisdxd
1025,rollnumberd
1002,file
1415,theverticesreachablefromdusingbfsareum
1175,theanswerroundedtodecimalplacesisf
962,entertheelementtobeinserted
75,max
1522,unluckychef
595,iarr
951,marks
226,300
753,elementdeletedd
809,employeephnold
283,return
1079,feet
59,getval
1030,subject
1153,entersecondnumber
1489,find
1124,entertwonumberstofindthepower
1163,10330
253,selected
1639,arrsize
591,-1
1468,rootid
698,occur
987,enterdimensionsofmatrixb
985,enterdimensionsofmatrixa
1520,dvaluefoundatdposition
710,sort
358,luisaprimenumber
1484,steps
344,memset
1126,modulusofenterednumbersd
490,null
1405,utt
735,thepreordertraversaloftreeis
1676,multiplymatrix
68,true
1075,weightf
1719,belong
588,bitsieve
837,delete
1164,330
1090,notpalindrome
1165,331
1166,332
1162,333
1459,dddddd
143,thevalueofcountisllu
466,getsx
126,tvalue
1660,----------------------------------
571,calculateq
1637,uvw
1648,dum
142,00
1411,qisempty
1179,01
836,createqueue
1085,reversednumberd
740,creatingmirrortree
772,duplicatekey
1311,segmenttree
780,sizet
266,isize
720,thesizeoffifthstructureisd
1302,longlongintnum
52,curr
100,10
730,height
647,11
127,12
128,13
223,pointer
775,14
110,15
221,16
1714,entertheadjacencymatrix
776,17
1510,mindiff
24,currentstartingrangeoffset
452,18
899,1:
1203,marksobtainedf
1241,shortarray
522,boxcnt
733,treesize
1705,qpr
103,20
624,21
109,22
648,dws
192,25
612,fact
632,charmax
777,lldlldlldlldlld
494,26
934,inputtocontinuetoexit
778,factorial
1218,29
431,freq
1000,totalcountd
251,mid
718,thesizeofthirdstructureisd
360,long
1282,1_
1671,inputelementsinthefirstmatrix
368,min
1322,partition
639,intt
421,9999
719,thesizeoffourthstructureisd
235,theanswerislistedbelow
111,free
206,30
932,coeff
1550,31
1446,32
1534,33
135,34
1005,fopen
136,35
1309,middle
914,intk
1283,2_
148,intn
1084,enteranumber
231,40
1038,mani
1443,nmbr
1457,enterthelengthofthequeue
1435,elementispresentatindexd
183,45
483,47
437,48
957,enterelementsforsecondarray
1152,enterfirstnumber
463,ich
1554,tempsz
1301,loop
184,50
208,five
1074,displaying
898,53
1209,ldunits
765,treeisempty
847,matchingfailed
1340,keydnames
953,56
438,57
484,58
1542,includestringh
526,inve
768,inordersuccessor
830,deleteatfrontdeleteatenddeleteatpositionenteryourchoice
1543,enterxandy
1689,mlt
822,enteryourchoice
539,xdiff
1464,ids
1196,60
859,entertheelement
363,idx
1194,62
1432,lastx
601,64
1467,tchild
599,65
592,67
26,ranges
27,ranget
1286,update
491,calloc
1248,mmm
1491,speed
4,printf
868,insertinorder
1573,gotoab
1634,xarr
1128,pressqorqtoquit
1021,enterrollnumber
566,structtest
952,78
536,lintn
1221,lldisthefinalanswer
1656,mno
1366,keyrs
1585,money
1216,80
1723,mny
186,82
1331,mark
469,base
1134,entersymbolforaddition
1138,entersymbolformodulus
470,mod
1243,integers
544,jeel
1057,forsecondnumber
1278,mov
1342,keyxnotfound
177,90
1540,91
1454,95
602,96
493,97
1101,divisionofenterednumbersd
56,val
176,99
1234,nullvalue
1673,inputelementsinthesecondmatrix
1622,enterxpandyp
1305,var
530,bitsum
1572,dldd
783,trailingzeroes
1730,qxx
983,matb
980,afterreversing
984,mata
630,patlu
1458,tcase
901,therearenotenoughenemies
990,entermartixa
1410,qdelete
1624,zkl
956,enterelementsforfirstarray
724,aftersorting
1701,zkw
1065,aged
1389,tofindpathum
1132,entercorctoclearthescreenand
1359,ijk
1724,leftx
869,searchakeyelement
3,first
873,invalidchoicet
450,atopower
197,float
1580,enterelementsoffirstmatrix
1187,answeriseighteen
581,exponent
1362,checkbst
750,entertheelementtobeinsertedatfrontend
1258,theanswerisyes
166,currentstore
374,gnpidx
1563,pagereq
513,maxi
1293,maxn
1093,fibonacciseries
739,totalnumberofnodesingiventreeis
478,1000000009
509,seive
359,luisnotaprimenumber
834,invalidinput
608,mul
838,enterthevalue
400,1000000007
680,isoper
572,1000000005
690,postfixeval
242,array
1442,sortedelements
688,postfix
151,value
829,insertatpos
1089,palindromenumber
1287,ind
416,inc
195,longlongint
576,inp
1441,enterdnumbers
15,int
1460,round
29,1000000000
935,poly
1628,beadsort
328,stdin
1579,enternumberofrowsandcolumnsoffirstmatrix
118,1212
831,delfront
936,thepolynomialis
1715,kruskal
1412,vin
573,longlongn
1398,vis
1018,enterinformation
1512,vix
1677,themultiplicationoftwomatrixis
200,testcases
1233,modullrelponentiltion
1713,enternumberofvertices
1729,mxx
385,getfgtcnt
596,dlld
709,longlongp
79,stop
191,800
1008,thefileisnowopened
911,primes
446,typeerror
1710,spanlist
39,currcounter
1537,strt
575,modinverse
1414,enterthesourcevertexum
997,movediscfromdtod
781,tzcount
950,abc
271,iquery
881,deletequeue
928,numberisprime
658,loops
548,mintransaction
274,iarraystart
1663,inputnumberofcolumnsforthefirstmatrix
748,enterelementtobeinsertedatrearend
459,abs
336,rdi
1237,answerisready
1290,initialize
505,1000501
1482,notes
228,thevalueofqisd
1125,lftothepowerlflf
745,initq
871,successfulsearch
615,rem
158,ele
821,insertionofnemployeedetailsinsertiondeletiondisplayexit
701,add
475,res
1419,itt
1072,enterweight
1226,signedn
1086,sumisd
1338,keynotfound
152,somevariable
1499,indexk
1500,indexl
381,httn
1048,sizeofuniondbytes
527,longlongintn
1106,valuesitcanbeonlypositiveor
853,invalidposition
878,displayqueue
609,longlongintr
1516,inputnoofelementsinanarray
313,end
1083,sumofdistancesdf
1478,tcases
1453,isupper
1392,label
1497,tempsize
587,expmod
1485,lsteps
643,thesizesofthestructuresare
180,slen
1185,00000000000000
1383,visited
707,eof
1062,age
1223,structstud
502,putstr
378,ghtbkt
827,insertinfront
241,number
846,matchingsucceeded
1095,pleaseentersecondnumber
330,nothing
47,staticint
331,enteranumbertocheckifitisprime
492,dddd
757,exit
1109,system
893,structnew
1727,zzx
1068,enterfirstnameandagerespectively
1096,multiplicationofenterednumbersd
1245,890
628,brickofpatlu
1426,enterelements
1420,vst
1476,nck
1647,intmiddle
1148,themultiplicationofdanddisd
1131,belowoptions
1169,initialise
1477,ncr
1725,rightx
805,employeedesignations
447,atoi
1503,changedspeed
1682,rtwos
1042,220.5
240,cvalue
568,finalresult
209,10000
1009,fputs
1409,qinsert
1173,10001
329,fflush
1019,entername
743,dequeue
1188,answerislld
959,secondarray
940,creatingndpolynomial
1027,unionstudent
533,neg
761,rear
978,afterinsertion
451,modm
1140,entersymbolforfactorial
1167,orihgeh
1208,finalansweris
1298,new
248,notenoughenemies
938,creatingstpolynomial
1071,personptr
711,newnode
798,employeedetailstobedeletedare
173,constvoid
1054,real
277,enterthetwospaceseparatedoperands
1178,96.3
1606,aminc
280,theoperatormustbeor
356,100.0
1693,enternumberofrowsandcolumnsofsndmatrixi
1605,aminb
1037,percentagef
1046,datastrs
357,unsignedlongint
525,extendedeuclid
1335,deletefromhash
863,delfromend
1198,1000123
746,insertrearinsertfrontdeletereardeletefront
708,2500000000
947,getnode
1058,addnumbers
445,and
1045,dataff
931,expn
1004,sometext
1349,keydnms
623,modinv
351,ans
737,totalnumberofleafnodesintreeis
810,ssssldld
33,any
1171,casetrue
291,lookahead
1092,enterthenumberofelements
645,unsigned
1064,rolld
1525,remainder
1734,enterelementsofsndmatrix
497,cake
1324,pivot
669,exp
42,getcurrentvalue
1594,inputnoofelementsinanarrayum
1695,enterelementsofsndmatrixi
747,printexitenteryourchoice
297,errorwithreadinginput
178,000
1260,lldd
299,elementsarr
1251,rrr
1177,grade
877,emptyqueue
986,dimensionsofaisdxd
1094,pleaseenterfirstnumb
1514,llds
326,thislineisnotprinted
1254,maybe
754,queueisempty
844,entertheexpression
1428,arrayaftersorting
607,prencr
13,default
150,intlong
1370,tofindpath
1657,arm
310,arr
1395,theverticesandtheircomponentnumbers
874,thelistis
207,intmax
147,shortint
1026,marksf
946,succ
1044,dataid
942,printingndpolynomial
610,ncrmodplucas
1112,***********
1306,calc
908,sievearr
518,jdx
1513,resulted
1447,tolower
140,746583
342,getli
1565,intmid
1129,theprogram
1308,run
1644,rightpart
1159,resultd
1069,namestaged
1220,calculationcomplete
816,enteremployeesname
570,llin
773,rthread
1363,enterthepreordertraversal
164,longlong
627,brickofmotu
1097,pleaseenterfirstnumber
1207,0000000000
1257,theanswerisno
1235,nnn
85,overlap
212,50000
252,binarysearch
306,isfirstdisplay
1050,sizeofstructuredbytes
322,name
23,currentstartingrange
801,employeenames
477,operatorsassignmentarithmeticshiftright
321,disnotaprimenumber
246,longintn
1242,modulusvalue
298,next
69,bool
1582,themultiplicationisntpossible
1007,afiletxtfilefailedtoopen
349,operatorsassignmentxor
433,pcnt
395,numerosaltos
1642,sortedarrayis
800,employeessns
918,charpltsz
554,gcdextended
569,factor
862,delfromfront
1172,green
1041,uniondata
367,upperbound
407,npl
675,postorder
311,target
1108,calcoprn
1717,dtdtd
9,lflflf
629,sumofpatlumotu
1333,inserttohash
144,thankyouforrunningthisprogram
1332,enterkey
130,printcount
1236,play
755,dequeuef
25,foundno
1690,enternumberofrowsandcolumnsoffstmatrixi
1315,ldldldld
1151,inputcorrectoption
383,inshtval
1040,99.50
1549,binarystringofdiss
891,greater
11,case
1047,ujob
880,insertqueue
1396,iindex
243,item
1683,ctwos
2,double
213,iscorrect
1316,iter
1487,updatearr
1348,enterthekeyxfordeletion
958,firstarray
1156,resultdcdf
1566,intnmid
1490,cars
1692,enterelementsoffstmatrixi
1402,ddum
196,longint
1524,remi
218,100500
519,constlint
1483,intmaxn
93,isoverflow
1145,additionsubstractionmultiplicationdivisionexit
1417,jkl
512,intmaxi
387,cambiosact
1551,exitfailure
1596,dvaluenotfoundum
169,\0
1675,hereistheelementsofsecondmatrix
1039,physics
939,createpoly
644,display
17,tcloopindex
1608,charlim
1321,pindex
752,dequeuer
1401,thenumberofcomponentsdum
305,num
1176,section
1314,cycles
1661,inputnumberofrowsforthefirstmatrix
1029,raju
574,modexp
631,motu
1501,getcx
1032,percentage
659,unsignedlonglongint
676,evaluatingexpression
1230,inverted
1629,sortedarray
1374,pathfound
279,fff
967,secondlistis
1641,printarray
858,insertdatainorderedmannerfindthedata
1416,windex
301,elementarr
1330,enterthetablesize
1268,suml
1463,sums
1273,addl
774,insert
376,fgt
129,1313
1599,arrsongs
729,leafcount
1060,resultimagf
1270,addr
806,sal
728,enterrightchildofd
282,amount
1691,didi
382,getl
1560,getn
377,nxt
1274,movl
488,lldlld
1277,movr
1539,gets
1244,900
687,visit
760,front
1385,pathfoundum
453,fib
929,pleaseenteranumber
876,queueempty
77,sumarray
1627,originalarray
1625,jqk
1253,giveanswer
1375,thelengthd
215,additionhastobedone
852,emptylist
1202,studentnumberlf
430,100000000
1003,datatobewritten
1051,complex
705,countbalanced
153,numberoftestcases
1376,theverticesinthepathare
721,enterthenoofelements
1531,sco
1115,addition
409,getchar
666,aa
1574,ab
1667,inputnumberofcolumnsforthesecondmatrix
1609,ac
392,smax
1507,diff
1103,pleaseenterapositivenumberto
625,ar
732,copyroot
1421,enterthesizeofthequeue
346,ax
345,ay
162,checkforoverflow
532,ba
343,bf
820,enteremployeespnno
1031,maths
523,bi
1699,enteranintegerindecimalnumbersystemum
116,sixth
161,sec
694,structnode
981,search
1696,productofthematricesi
520,bz
458,cc
1356,enterthenoofelementsum
1588,set
156,ch
1077,enterfeet
350,ci
1365,notabinarysearchtree
717,thesizeofsecondstructureisd
1700,binarystringofdissum
1720,cn
398,cnum
1388,pathnotfoundum
1532,cs
1636,bds
1284,cv
1559,rpage
501,db
28,dd
1291,getkth
653,tempindex
1160,di
396,cbuffer
722,entertheelements
354,dp
1020,fgets
1444,ds
955,dt
270,itask
884,useless
1023,entermarks
589,bitmask
264,irankarray
455,llullullu
1427,downadjust
46,rangeoffset
584,numberofints
1408,bfs
1161,getstudent
788,5.0
1449,abcdefghijklmnopqrstuvwxyz
1488,sho
278,ff
508,ldld
122,100000
1211,foo
907,intsize
558,modularinverse
1011,datasuccessfullywritteninfileafiletxt
1369,enterthenumberofvertices
236,thevalueofkisthekintegersareddddd
1591,ft
1461,sid
896,random
514,sumofprimes
1665,inputnumberofrowsforthesecondmatrix
1481,findsum
620,exteuc
867,orderedinsertionentertheelement
300,mergesort
638,gf
1597,dvaluefoundatdpositionum
511,lulu
864,entertheelementanditspositiontobeinserted
785,siz
67,false
434,dpcnt
1504,jxv
1439,counter
1672,elementdd
1607,gu
220,500
217,501
895,structzero
216,100001
763,queueisfull
371,bid
1190,big
1328,noelements
964,hl
999,enternumberofdiscs
1355,hp
1336,ht
76,hu
214,itiscorrect
1146,theadditionofdanddisd
1252,oldranges
219,sqrt
132,else
1296,four
1246,999
550,id
292,tasks
1288,buildsegmenttree
1645,ij
1318,asecond
1557,ik
1556,il
712,isbst
457,in
250,lower
1633,ip
296,index
1593,it
1652,ix
425,sll
1102,enteranumbertofindfactorial
1726,tttx
1425,enternoofelements
1506,factorsof
922,putnli
51,hello
397,ilen
674,inorder
1533,maxdiff
866,enterthepositionofthenodetobedeleted
21,jj
1191,fibonacci
1650,jk
1100,sumofdnumbersd
1469,jl
1635,jp
1687,fst
489,bkt
1399,vindex
237,additionalzero
1653,jx
749,enqueuer
229,world
824,insertatend
872,unsuccessfulsearch
1698,smt
695,table
1684,ki
364,maxquantity
1351,kk
80,unsignedlongn
1649,kl
12,break
910,1000033
1679,kp
751,enqueuef
78,change
1688,snd
1612,kt
333,notprime
1638,kx
1479,testcase
715,intmin
335,lc
198,ld
408,lf
1113,pleaseenteranyoneofbelowavailable
517,li
399,fun
423,ll
1289,ln
406,lp
414,soe
1589,lt
98,lu
1078,dist
1059,resultrealf
808,phno
1263,lz
1,second
561,som
1294,sol
256,high
1147,thesubstractionofdanddisd
1716,edge
1583,enterelementsofsecondmatrix
977,555
667,md
507,limit
1517,inputdvalueinascendingorder
1685,mi
1586,bnk
641,mm
1319,iters
1590,mt
905,spf
1718,costofthespanningtreed
259,EMPTY_TOKEN
1651,mx
1312,treestruct
422,1.0
1706,belongs
594,ne
379,nf
465,opcnt
380,ni
1567,nl
1343,nm
481,1000003
1249,nn
31,no
903,1000004
50,code
1568,nr
411,1000000
1183,student
1329,tablesz
504,1000001
1341,keyx
793,head
429,total
486,sqr
1571,dlldd
1228,reserve
123,ok
1424,heap
603,op
949,rnum
1391,src
1272,delr
1528,dddld
1231,lavue
1271,dell
187,100
436,101
1552,srr
426,pc
468,delcol
1192,102
975,afterdeletion
540,pi
915,pn
1247,po
619,pp
758,pq
427,pr
1646,leftpart
1378,pt
582,theint
267,iloc
249,upper
1384,px
759,isempty
703,sortandcount
799,ssn
1012,thefileisnowclosed
1418,okl
307,insertintoarayelement
1214,sss
593,113
969,concatenatedlistis
1686,qi
1387,theverticesinthepathareum
1658,brm
678,afterevaluationd
665,qq
1379,qs
1471,bincof
1212,old
1621,qx
679,stk
1087,factorialofdisld
117,120
375,str
1199,121
369,node
600,122
693,rd
1197,123
120,lalalalala
564,re
887,124
790,125
796,plink
341,ri
1201,studentnames
1474,sub
545,ashish
432,seed
543,suf
1262,rz
81,sum
281,tempnumb
924,enterthenumberofprimenumbersrequired
1495,sc
598,sd
404,si
410,sk
1320,lldum
462,sl
825,displaylist
1371,enterthesourceanddestinationvertices
1575,sm
1529,sn
769,key
642,ss
157,st
1618,sx
90,one
205,store
802,dept
531,ta
20,tc
875,td
1530,te
909,ti
403,tn
1024,displayinginformation
114,fourth
420,to
402,tp
813,newemployee
1541,tt
1473,testnum
1264,tx
1261,ty
933,inputthecoeffecientandexponeniation
202,newarray
1053,enterrealpart
1337,keyfoundanddeleted
366,ub
1602,swp
681,enterthesrcanddestination
66,zero
1255,casea
1256,caseb
1123,casec
637,cased
660,ul
1120,caseh
1509,um
1195,1000063
634,casel
134,casen
1475,uu
894,structstr
510,sumcount
885,bigarray
1390,desdes
352,putli
320,disaprimenumber
1141,opt
394,sustraeposicion
288,binsort
294,tempamount
597,solve
916,pmax
1576,unsignedintn
1422,elementinsertedsuccessfully
199,characternumber
1413,kin
384,wi
686,creategraph
1670,theyaredifferenttryagain
1157,enteranexpression
1511,kix
1227,dvalue
1352,sze
1122,caseq
635,caser
521,wz
699,cases
1240,longarray
991,entermatrixb
636,caseu
1010,fclose
73,unsignedlong
133,casey
1616,xa
726,enterdatafornodata
1403,kjl
590,xf
839,enqueue
1105,factorialcantbefoundfornegative
1438,xi
1017,pragmastartupfuncpragmaexitfuncvoid
1619,xp
1611,xt
552,xx
1617,xy
1623,ya
386,putl
428,gcd
7,scanf
616,500000003
175,999090
257,type
1664,cone
1168,yo
1620,yp
1610,yt
339,gcx
553,yy
870,findkey
814,getemployee
795,nlink
1654,klj
1360,klm
441,push
738,heightofgiventreeis
782,zu
906,-1_
347,zx
622,fermat
348,zy
1350,zz
131,flag
456,out
840,capacity
1104,findfactorialandtryagain
40,currentvalue
487,divisor
479,longn
1034,unionrecordvaluesexample
1266,lldlldlldlld
485,get
293,taskoption
472,power
902,difficultylevelld
201,oldarray
473,binaryexponentiation
1434,elementisnotpresentinarray
1548,decimaltobinary
787,puts
1180,typo
82,elements
57,minimum
224,queue
651,data
1494,constint
1142,enterthefirstinteger
1224,idnumber
1347,enternm
835,structqueue
139,9385
1275,costl
672,create
174,countervariable
1070,person
1055,enterimaginarypart
460,safe
1334,enterthekeyfordeletion
1285,includestdioh
848,link
495,getlint
849,listisempty
1238,thefinalanswerislld
621,cal
1300,longintnum
1561,cas
1063,getinformation
919,pmin
1400,kindex
1394,thenumberofcomponentsd
1707,vertexno
731,treeheight
1276,costr
1279,cost
1429,lastin
1613,tcs
845,match
1535,inlineint
1553,temperi
807,employeesalaryld
779,400005
736,thepostordertraversaloftreeis
652,nosa
